WDate;Degrees_C;MoM_Low;MoM_High;Humidity;Wind_Speed;FF10;Td;SiteName;LocationName;WeekDay;BRCYear;BRCQuarter;BRCMonth;BRCWeek;TotalCount
2020-06-28 23:00;14;7519;7523;72;6;;90;York;Coney Street;Sunday;2020;;June;26;28
2020-06-28 22:00;14;7519;7523;67;7;;80;York;Coney Street;Sunday;2020;;June;26;60
2020-06-28 21:00;14;7519;7523;77;5;;100;York;Coney Street;Sunday;2020;;June;26;108
2020-06-28 20:00;12;7518;7523;94;4;;110;York;Coney Street;Sunday;2020;;June;26;104
2020-06-28 19:00;14;7527;7531;72;8;13;90;York;Coney Street;Sunday;2020;;June;26;114
2020-06-28 18:00;15;7519;7523;68;8;;90;York;Coney Street;Sunday;2020;;June;26;153
2020-06-28 17:00;17;7519;7523;56;9;;80;York;Coney Street;Sunday;2020;;June;26;323
2020-06-28 16:00;17;7519;7523;56;9;16;80;York;Coney Street;Sunday;2020;;June;26;599
2020-06-28 15:00;17;7519;7523;59;9;;90;York;Coney Street;Sunday;2020;;June;26;736
2020-06-28 14:00;17;7519;7523;59;11;17;90;York;Coney Street;Sunday;2020;;June;26;849
2020-06-28 13:00;17;7519;7523;68;9;;110;York;Coney Street;Sunday;2020;;June;26;807
2020-06-28 12:00;17;7512;7516;56;11;16;80;York;Coney Street;Sunday;2020;;June;26;750
2020-06-28 11:00;17;7512;7516;64;11;16;100;York;Coney Street;Sunday;2020;;June;26;618
2020-06-28 10:00;16;7512;7516;63;11;16;90;York;Coney Street;Sunday;2020;;June;26;335
2020-06-28 09:00;16;7512;7516;63;9;14;90;York;Coney Street;Sunday;2020;;June;26;123
2020-06-28 08:00;16;7504;7508;68;10;16;100;York;Coney Street;Sunday;2020;;June;26;59
2020-06-28 07:00;14;7504;7508;77;9;;100;York;Coney Street;Sunday;2020;;June;26;32
2020-06-28 06:00;13;7497;7501;82;9;;100;York;Coney Street;Sunday;2020;;June;26;19
2020-06-28 05:00;12;7497;7501;88;8;;100;York;Coney Street;Sunday;2020;;June;26;17
2020-06-28 04:00;12;7497;7501;82;6;;90;York;Coney Street;Sunday;2020;;June;26;52
2020-06-28 03:00;12;7497;7501;88;5;;100;York;Coney Street;Sunday;2020;;June;26;93
2020-06-28 02:00;12;7497;7501;88;7;;100;York;Coney Street;Sunday;2020;;June;26;102
2020-06-28 01:00;13;7497;7501;82;5;;100;York;Coney Street;Sunday;2020;;June;26;153
2020-06-28 00:00;14;7512;7516;72;6;;90;York;Coney Street;Sunday;2020;;June;26;214
2020-06-27 23:00;13;7489;7493;82;7;;100;York;Coney Street;Saturday;2020;;June;26;301
