Company name;Org. no;Closure year;Currency;Num. of employees, stock company (pcs);EBITDA (k);Working capital (k);Distributable earnings (k);Turnover change (%);Changes in staff (%);Return on equity (%);Return on total assets (%);Liability interest (%);Risk buffer total assets (k);Return on Captial Employed (RoCE) (%)
Ekman Invest Holding AB;5567121602;201912;SEK;301;59 472;278 276;239 355;-8,01;0;-3,8;1,7;2,6;-0,8;3,43
Byr AB;5569479115;201912;SEK;176;376 481;867 989;809 591;18,21;39,68;39,7;13,8;2,2;11,7;37,4
Axfood Snabbgross AB;5560003575;201912;SEK;411;170 195;-36 068;7 112;6,22;2,49;465,4;48,1;0,4;47,8;1 700,96
ELON Group Holding AB (publ);5567225221;201912;SEK;146;44 918;24 435;224 302;1,82;-2,67;4,9;1,4;0,5;1;3,89
LWW Group AB;5565295333;201912;SEK;347;22 647;297 592;239 810;-7,27;-3,88;-3,4;-0,1;1,7;-1,8;-0,08
Global Business Travel ApS;73489628;201912;DKK;100;8 394;34 060;35 151;14,35;0;8,7;5,19;0,53;0;11,33
Atteviks Bil Aktiebolag;5562130400;201912;SEK;453;105 203;373 975;507 718;-0,75;2,26;14,9;7,9;0,7;7,2;12,12
BRA Sverige AB;5569665994;201912;SEK;128;-336 041;6 976;17;-8,74;-43,61;-3 399,8;-94,3;1;-95,3;-3 365,68
SINKABERG INVEST AS;988947857;201912;NOK;242;490 539;1 352 251;700 068;1;6,14;26,53;18,36;71,43;17,86;25,1
Havilog AB;5561628917;201912;SEK;143;8 930;1 397;4 245;6,6;2,88;58,5;2,8;0,4;2,5;67,66
GIPEJO Förvaltnings Aktiebolag;5563246312;201912;SEK;272;149 652;222 938;397 987;4,9;11,02;27,6;10,1;1,2;8,9;17,54
Bröderna Börjessons Bil Aktiebolag;5561762864;201912;SEK;399;149 057;121 596;248 600;7,2;0;22,6;5;1,4;3,7;6,49
West Atlantic AB;5565036083;201912;SEK;474;128 600;44 300;-44 900;19,44;2,82;-14,2;-0,4;6;-6,3;-0,59
Pon Equipment Aktiebolag;5560229592;201912;SEK;447;139 255;184 699;125 199;6,62;4,68;60,9;52,6;21,2;31,4;66,46
LEGULA AS;953745321;201912;NOK;299;164 434;419 148;136 126;-0,87;0;10,64;10,98;38,99;7,93;12,6
Bilia Center Metro AB;5566560925;201912;SEK;309;110 484;72 752;62 826;18,26;21,18;107,7;23,1;0,3;22,8;154,79
Tuve Holding AB;5590104419;201912;SEK;244;31 003;34 918;74 673;5,07;1,24;23;4;0,2;3,8;19,07
SEHED Byggmästargruppen AB;5567675144;201912;SEK;381;116 130;127 358;194 671;17,01;2,97;48,8;14,8;0,7;14,1;38,33
Tuve Bygg Aktiebolag;5562021237;201912;SEK;244;28 493;39 194;103 614;4,16;2,09;19,4;4,4;0,1;4,3;17,7
Lindab Sverige AB;5562472273;201912;SEK;243;140 598;19 465;15 406;-0,83;-3,57;403,5;33,2;0,6;32,6;506,45
Billström Riemer Andersson AB;5567758460;201912;SEK;258;222 488;134 002;226 585;40,15;10,73;96;23,8;0,3;23,6;80,54
Bröderna Löfberg Aktiebolag;5565429262;201906;SEK;359;69 487;71 455;349 589;-1,77;3,16;2,4;2,1;2,5;-0,4;3,49
Skobes Bil Aktiebolag;5560437039;201912;SEK;356;85 645;366 527;327 955;1,07;-1,39;20,5;10,8;2,2;8,6;14,15
ByggPartner i Dalarna Holding AB (publ);5567109243;201912;SEK;453;83 334;51 092;30 244;17,16;2,49;44,7;10,7;0,2;10,4;41,8
Skoogs Handels AB;5566358353;201909;SEK;127;114 787;25 981;253 147;42,17;-4,51;28,6;7,6;1,3;6,3;13,09
PEDAB Group AB;5565397758;201904;SEK;144;2 558;-9 221;-13 476;5,03;26,32;2,8;1,3;1,2;0,1;24,75
Taptum AB;5590197124;201904;SEK;182;-8 121;-54 395;38 167;15,88;-3,7;-23,8;-1,2;2,1;-3,2;-6,29
HELMIA Aktiebolag;5563176394;201912;SEK;369;111 881;56 696;339 804;4,22;0,54;26,9;13,1;1,6;11,5;25,33
Ewerman Aktiebolag;5560955840;201912;SEK;194;-365;-97 377;36 327;8,5;13,45;-37,8;-3,4;0,9;-4,3;-30,79
3 Step IT Sweden AB;5564880218;201912;SEK;100;87 142;-7 941;87 496;-3,85;20,48;76,6;18,9;1,2;17,7;56,81
Veho Bil Sverige AB;5567215362;201912;SEK;299;49 718;197 769;218 131;-2,17;21,54;14,6;10;2,3;7,7;18,26
Martinson Group Aktiebolag;5564937489;201912;SEK;464;141 315;81 931;467 382;3,1;-0,64;16,8;7,5;0,9;6,6;14,93
KUEHNE + NAGEL A/S;39604418;201912;DKK;200;83 862;18 449;35 131;1,14;0;35,26;9,77;3,44;0;42,54
DHL Global Forwarding (Sweden) AB;5560631516;201912;SEK;278;-2 264;151 475;-118 530;-8,42;-5,12;-12,8;-0,9;1,5;-2,4;-6,11
AB Berner & Co;5566287412;201912;SEK;374;45 090;59 893;193 522;0,76;1,63;14,5;4,2;1,8;2,4;5,29
Curt Landrin Bil Aktiebolag;5561162198;201912;SEK;260;86 453;179 137;219 479;-0,07;6,56;29,6;12,4;2;10,4;17,94
NCAB Group AB (publ);5567330161;201912;SEK;387;179 908;178 747;144 599;10,16;6,32;46,2;25;10,9;14,1;48,1
