Company name;Org. no;Last annual report;Currency;Num. of employees, stock company 2020 (pcs);Num. of employees, stock company 2019 (pcs);Num. of employees, stock company 2018 (pcs);Num. of employees, stock company 2017 (pcs);Num. of employees, stock company 2016 (pcs);Num. of employees, stock company 2015 (pcs);Num. of employees, stock company 2014 (pcs);Num. of employees, stock company 2013 (pcs);Num. of employees, stock company 2012 (pcs);Num. of employees, stock company 2011 (pcs);Num. of employees, stock company 2010 (pcs);EBITDA 2020 (k);EBITDA 2019 (k);EBITDA 2018 (k);EBITDA 2017 (k);EBITDA 2016 (k);EBITDA 2015 (k);EBITDA 2014 (k);EBITDA 2013 (k);EBITDA 2012 (k);EBITDA 2011 (k);EBITDA 2010 (k);Gross profit/loss 2020 (k);Gross profit/loss 2019 (k);Gross profit/loss 2018 (k);Gross profit/loss 2017 (k);Gross profit/loss 2016 (k);Gross profit/loss 2015 (k);Gross profit/loss 2014 (k);Gross profit/loss 2013 (k);Gross profit/loss 2012 (k);Gross profit/loss 2011 (k);Gross profit/loss 2010 (k);R & D costs 2020 (k);R & D costs 2019 (k);R & D costs 2018 (k);R & D costs 2017 (k);R & D costs 2016 (k);R & D costs 2015 (k);R & D costs 2014 (k);R & D costs 2013 (k);R & D costs 2012 (k);R & D costs 2011 (k);R & D costs 2010 (k);Total assets 2020 (k);Total assets 2019 (k);Total assets 2018 (k);Total assets 2017 (k);Total assets 2016 (k);Total assets 2015 (k);Total assets 2014 (k);Total assets 2013 (k);Total assets 2012 (k);Total assets 2011 (k);Total assets 2010 (k);Quick ratio 2020 (%);Quick ratio 2019 (%);Quick ratio 2018 (%);Quick ratio 2017 (%);Quick ratio 2016 (%);Quick ratio 2015 (%);Quick ratio 2014 (%);Quick ratio 2013 (%);Quick ratio 2012 (%);Quick ratio 2011 (%);Quick ratio 2010 (%);Debt/equity ratio 2020 (%);Debt/equity ratio 2019 (%);Debt/equity ratio 2018 (%);Debt/equity ratio 2017 (%);Debt/equity ratio 2016 (%);Debt/equity ratio 2015 (%);Debt/equity ratio 2014 (%);Debt/equity ratio 2013 (%);Debt/equity ratio 2012 (%);Debt/equity ratio 2011 (%);Debt/equity ratio 2010 (%)
Ekman Invest Holding AB;5567121602;201912;SEK;-;301;0;283;279;43;270;277;265;252;187;-;59 472;160 720;123 581;88 085;111 755;90 141;96 807;80 787;78 896;90 249;-;0;0;0;0;0;0;0;0;0;0;-;0;0;0;0;0;0;0;0;0;0;-;2 686 996;3 185 906;2 344 928;2 126 828;1 961 264;2 408 877;2 032 695;1 859 956;1 904 706;1 695 449;-;80,2;77,3;92,4;91,4;90,3;84,6;89,9;88,5;92,8;95,3;-;6,72;6,91;5,23;5,41;5,15;7,64;6,14;5,71;5,97;4,94
Axfood Snabbgross AB;5560003575;201912;SEK;-;411;401;384;365;335;316;300;275;261;232;-;170 195;133 435;155 360;161 391;145 173;123 172;95 713;76 874;66 584;0;-;420 657;366 639;356 278;384 718;363 951;310 510;276 133;248 766;237 962;219 845;-;0;0;0;0;0;0;0;0;0;0;-;317 215;316 434;320 366;328 471;331 720;288 487;236 497;240 844;257 905;250 790;-;27,6;34,7;30,6;42,9;49,1;51,4;35,5;34;30,2;28,3;-;8,44;12,06;12,1;15,42;15,66;11,61;10,54;12,19;13,16;15,34
LWW Group AB;5565295333;201912;SEK;-;347;361;337;332;340;346;391;402;0;0;-;22 647;61 442;78 258;63 337;51 590;60 993;44 979;57 675;-22;-16;-;0;0;0;0;0;0;0;0;0;0;-;0;0;0;0;0;0;0;0;0;0;-;1 077 054;1 076 944;1 074 786;864 774;777 425;868 339;816 246;1 139 061;764 319;629 734;-;81;86,3;88;110;121,8;104,4;97,5;118,1;212,6;145,7;-;1,91;1,77;1,77;1,1;0,87;1,12;1,05;1,02;0,29;0,33
Atteviks Bil Aktiebolag;5562130400;201912;SEK;-;453;443;434;419;407;344;331;325;304;280;-;105 203;149 043;182 971;167 278;118 591;78 740;55 825;66 727;72 581;64 486;-;234 794;253 873;238 357;214 695;189 869;164 668;136 270;137 460;154 948;126 606;-;0;0;0;0;0;0;0;0;0;0;-;1 023 060;901 068;877 492;895 232;894 424;723 909;606 718;605 022;573 662;562 864;-;124,5;134,9;89,9;101,1;77,3;83;87,8;83,8;102,5;91,6;-;0,93;0,77;1,04;1,07;1,31;1,07;0,76;0,87;1,03;1,34
SINKABERG INVEST AS;988947857;201912;NOK;-;242;228;0;0;0;0;0;0;-;-;-;490 539;484 533;254 494;463 023;203 891;146 879;97 449;64 090;-;-;-;0;0;0;0;0;0;0;0;-;-;-;0;0;0;0;0;0;0;0;-;-;-;2 725 152;2 186 206;1 660 735;1 582 560;1 065 981;893 037;805 494;648 881;-;-;-;3,2;3,62;4,54;3,34;4,13;4,58;3,73;5,13;-;-;-;0,45;0,46;0,43;0,58;0,6;0,65;0,8;0,63;-;-
GIPEJO Förvaltnings Aktiebolag;5563246312;201912;SEK;-;272;245;203;193;172;154;152;149;141;19;-;149 652;110 113;109 796;100 157;72 299;55 232;38 477;34 269;43 370;13 068;-;0;0;0;0;0;0;0;0;0;0;-;0;0;0;0;0;0;0;0;0;0;-;1 172 108;1 021 046;979 320;829 235;736 550;542 758;408 265;423 390;404 152;408 542;-;40,9;41,5;37,9;42,8;42,8;50;56,4;47,3;37,2;41,8;-;1,8;1,9;2,38;2,58;3,24;3,11;2,93;3,84;4,17;5,82
Bröderna Börjessons Bil Aktiebolag;5561762864;201912;SEK;-;399;399;275;234;230;222;222;227;215;196;-;149 057;106 992;72 463;71 039;73 602;15 704;32 288;30 885;41 443;38 831;-;0;257 148;144 213;143 966;111 440;76 324;104 830;108 821;111 132;105 473;-;0;0;0;0;0;0;0;0;0;0;-;1 437 057;1 317 849;1 224 818;857 228;749 059;578 237;463 515;348 730;431 024;323 364;-;73,5;67,7;71,2;78,5;110,8;95,6;87,4;90,1;53,4;54,9;-;4,59;4,87;4,11;2,61;2,29;2,11;1,48;1,07;1,89;1,53
West Atlantic AB;5565036083;201912;SEK;-;474;461;459;477;508;472;451;439;264;261;-;128 600;155 800;126 300;127 400;177 900;183 858;112 915;106 803;75 870;44 463;-;64 400;38 400;26 600;28 600;104 500;119 806;120 934;162 949;117 212;42 836;-;0;0;0;0;0;0;0;0;0;0;-;708 900;1 360 500;1 270 800;1 276 800;1 412 100;1 084 753;1 008 542;642 849;674 017;518 947;-;86;38,9;116,2;156,2;222;108,4;158,3;80,1;90,5;176,8;-;2,18;32,84;17,69;11,13;6,43;3,6;2,66;1,5;2,08;1,87
Pon Equipment Aktiebolag;5560229592;201912;SEK;-;447;427;403;355;368;390;384;378;353;297;-;139 255;-27 127;-31 191;-88;36 893;-53 428;2 695;7 225;-1 129;8 244;-;0;0;0;0;0;0;0;0;0;0;-;0;0;0;0;0;0;0;0;0;0;-;233 306;643 611;789 671;762 194;983 301;931 017;868 783;913 689;622 802;518 875;-;480;66,4;55,8;59,5;40,6;45,5;60,5;53,1;59,5;50,9;-;0,26;2,06;3,23;3,44;4,94;4,6;4,22;4,63;2,44;2,76
LEGULA AS;953745321;201912;NOK;-;299;0;0;0;0;0;0;0;-;-;-;164 434;150 202;164 692;197 358;213 409;221 582;298 764;297 111;-;-;-;0;0;0;0;0;0;0;0;-;-;-;0;0;0;0;0;0;0;0;-;-;-;938 816;1 001 134;948 360;911 185;802 260;789 555;752 012;734 480;-;-;-;4,46;3,83;3,06;3,82;3,82;4,07;2,94;2,92;-;-;-;1,57;1,58;2,05;2,09;1,69;1,76;1,38;1,46;-;-
